date	year	week	nr	relevance	quality	comment
28.05.1992	9	21	439			
04.06.1992	9	22	440			
11.06.1992	9	23	441			
18.06.1992	9	24	442			
25.06.1992	9	25	443			
02.07.1992	9	26	444			
09.07.1992	9	27	445			
16.07.1992	9	28	446			
23.07.1992	9	29	447			
30.07.1992	9	30	448			
06.08.1992	9	31	449			
13.08.1992	9	32	450			
20.08.1992	9	33	451			
27.08.1992	9	34	452			
03.09.1992	9	35	453			
10.09.1992	9	36	454			
17.09.1992	9	37	455			
24.09.1992	9	38	456			
01.10.1992	9	39	457			
08.10.1992	9	40	458			
15.10.1992	9	41	459			
22.10.1992	9	42	460			
29.10.1992	9	43	461			
05.11.1992	9	44	462			
12.11.1992	9	45	463			
19.11.1992	9	46	464			
26.11.1992	9	47	465			
03.12.1992	9	48	466			
10.12.1992	9	49	467			
17.12.1992	9	50	468			
24.12.1992	9	51	469			
31.12.1992	9	52	470			
07.01.1993	10	1	471			
14.01.1993	10	2	472			
21.01.1993	10	3	473			
28.01.1993	10	4	474			
04.02.1993	10	5	475			
11.02.1993	10	6	476			
18.02.1993	10	7	477			
25.02.1993	10	8	478			
04.03.1993	10	9	479			
11.03.1993	10	10	480			
18.03.1993	10	11	481			
25.03.1993	10	12	482			
01.04.1993	10	13	483			
08.04.1993	10	14	484			
15.04.1993	10	15	485			
22.04.1993	10	16	486			
29.04.1993	10	17	487			
06.05.1993	10	18	488			
13.05.1993	10	19	489			
20.05.1993	10	20	490			
27.05.1993	10	21	491			
03.06.1993	10	22	492			
10.06.1993	10	23	493			
17.06.1993	10	24	494			
24.06.1993	10	25	495			
01.07.1993	10	26	496			
08.07.1993	10	27	497			
15.07.1993	10	28	498			
22.07.1993	10	29	499			
29.07.1993	10	30	500			
05.08.1993	10	31	501			
12.08.1993	10	32	502			
19.08.1993	10	33	503			
26.08.1993	10	34	504			
02.09.1993	10	35	505			
09.09.1993	10	36	506			
16.09.1993	10	37	507			
23.09.1993	10	38	508			
30.09.1993	10	39	509			
07.10.1993	10	40	510			
14.10.1993	10	41	511			
21.10.1993	10	42	512			
28.10.1993	10	43	513			
04.11.1993	10	44	514			
11.11.1993	10	45	515			
18.11.1993	10	46	516			
25.11.1993	10	47	517			
02.12.1993	10	48	518			
09.12.1993	10	49	519			
16.12.1993	10	50	520			
23.12.1993	10	51	521			
30.12.1993	10	52	522			
06.01.1994	11	1	523			
13.01.1994	11	2	524			
20.01.1994	11	3	525			
27.01.1994	11	4	526			
03.02.1994	11	5	527			
10.02.1994	11	6	528			
17.02.1994	11	7	529			
24.02.1994	11	8	530			
03.03.1994	11	9	531			
10.03.1994	11	10	532			
17.03.1994	11	11	533			
24.03.1994	11	12	534			
31.03.1994	11	13	535			
07.04.1994	11	14	536			
14.04.1994	11	15	537			
21.04.1994	11	16	538			
28.04.1994	11	17	539			
05.05.1994	11	18	540			
12.05.1994	11	19	541			
19.05.1994	11	20	542			
26.05.1994	11	21	543			
02.06.1994	11	22	544			
09.06.1994	11	23	545			
16.06.1994	11	24	546			
23.06.1994	11	25	547			
30.06.1994	11	26	548			
07.07.1994	11	27	549			
14.07.1994	11	28	550			
21.07.1994	11	29	551			
28.07.1994	11	30	552			
04.08.1994	11	31	553			
11.08.1994	11	32	554			
18.08.1994	11	33	555			
25.08.1994	11	34	556			
01.09.1994	11	35	557			
08.09.1994	11	36	558			
15.09.1994	11	37	559			
22.09.1994	11	38	560			
29.09.1994	11	39	561			
06.10.1994	11	40	562			
13.10.1994	11	41	563			
20.10.1994	11	42	564			
27.10.1994	11	43	565			
03.11.1994	11	44	566			
10.11.1994	11	45	567			
17.11.1994	11	46	568			
24.11.1994	11	47	569			
01.12.1994	11	48	570			
08.12.1994	11	49	571			
15.12.1994	11	50	572			
22.12.1994	11	51	573			
29.12.1994	11	52	574			
05.01.1995	12	1	575			
12.01.1995	12	2	576			
19.01.1995	12	3	577			
26.01.1995	12	4	578			
02.02.1995	12	5	579			
09.02.1995	12	6	580			
16.02.1995	12	7	581			
23.02.1995	12	8	582			
02.03.1995	12	9	583			
09.03.1995	12	10	584			
16.03.1995	12	11	585			
23.03.1995	12	12	586			
30.03.1995	12	13	587			
06.04.1995	12	14	588			
13.04.1995	12	15	589			
20.04.1995	12	16	590			
27.04.1995	12	17	591			
04.05.1995	12	18	592			
11.05.1995	12	19	593			
18.05.1995	12	20	594			
25.05.1995	12	21	595			
01.06.1995	12	22	596			
08.06.1995	12	23	597			
15.06.1995	12	24	598			
22.06.1995	12	25	599			
29.06.1995	12	26	600			
06.07.1995	12	27	601			
13.07.1995	12	28	602			
20.07.1995	12	29	603			
27.07.1995	12	30	604			
03.08.1995	12	31	605			
10.08.1995	12	32	606			
17.08.1995	12	33	607			
24.08.1995	12	34	608			
31.08.1995	12	35	609			
07.09.1995	12	36	610			
14.09.1995	12	37	611			
21.09.1995	12	38	612			
28.09.1995	12	39	613			
05.10.1995	12	40	614			
12.10.1995	12	41	615			
19.10.1995	12	42	616			
26.10.1995	12	43	617			
02.11.1995	12	44	618			
09.11.1995	12	45	619			
16.11.1995	12	46	620			
23.11.1995	12	47	621			
30.11.1995	12	48	622			
07.12.1995	12	49	623			
14.12.1995	12	50	624			
21.12.1995	12	51	625			
28.12.1995	12	52	626			
04.01.1996	13	1	627			
11.01.1996	13	2	628			
18.01.1996	13	3	629			
25.01.1996	13	4	630			
01.02.1996	13	5	631			
08.02.1996	13	6	632			
15.02.1996	13	7	633			
22.02.1996	13	8	634			
29.02.1996	13	9	635			
07.03.1996	13	10	636			
14.03.1996	13	11	637			
21.03.1996	13	12	638			
28.03.1996	13	13	639			
04.04.1996	13	14	640			
11.04.1996	13	15	641			
18.04.1996	13	16	642			
25.04.1996	13	17	643			
02.05.1996	13	18	644			
09.05.1996	13	19	645			
16.05.1996	13	20	646			
23.05.1996	13	21	647			
30.05.1996	13	22	648			
06.06.1996	13	23	649			
13.06.1996	13	24	650			
20.06.1996	13	25	651			
27.06.1996	13	26	652			
04.07.1996	13	27	653			
11.07.1996	13	28	654			
18.07.1996	13	29	655			
25.07.1996	13	30	656			
01.08.1996	13	31	657			
08.08.1996	13	32	658			
15.08.1996	13	33	659			
22.08.1996	13	34	660			
29.08.1996	13	35	661			
05.09.1996	13	36	662			
12.09.1996	13	37	663			
19.09.1996	13	38	664			
26.09.1996	13	39	665			
03.10.1996	13	40	666			
10.10.1996	13	41	667			
17.10.1996	13	42	668			
24.10.1996	13	43	669			
31.10.1996	13	44	670			
07.11.1996	13	45	671			
14.11.1996	13	46	672			
21.11.1996	13	47	673			
28.11.1996	13	48	674			
05.12.1996	13	49	675			
12.12.1996	13	50	676			
19.12.1996	13	51	677			
26.12.1996	13	52	678			
02.01.1997	14	1	679			
09.01.1997	14	2	680			
16.01.1997	14	3	681			
23.01.1997	14	4	682			
30.01.1997	14	5	683			
06.02.1997	14	6	684			
13.02.1997	14	7	685			
20.02.1997	14	8	686			
27.02.1997	14	9	687			
06.03.1997	14	10	688			
13.03.1997	14	11	689			
20.03.1997	14	12	690			
27.03.1997	14	13	691			
03.04.1997	14	14	692			
10.04.1997	14	15	693			
17.04.1997	14	16	694			
24.04.1997	14	17	695			
01.05.1997	14	18	696			
08.05.1997	14	19	697			
15.05.1997	14	20	698			
22.05.1997	14	21	699			
29.05.1997	14	22	700			
05.06.1997	14	23	701			
12.06.1997	14	24	702			
19.06.1997	14	25	703			
26.06.1997	14	26	704			
03.07.1997	14	27	705			
10.07.1997	14	28	706			
17.07.1997	14	29	707			
24.07.1997	14	30	708			
31.07.1997	14	31	709			
07.08.1997	14	32	710			
14.08.1997	14	33	711			
21.08.1997	14	34	712			
28.08.1997	14	35	713			
04.09.1997	14	36	714			
11.09.1997	14	37	715			
18.09.1997	14	38	716			
25.09.1997	14	39	717			
02.10.1997	14	40	718			
09.10.1997	14	41	719			
16.10.1997	14	42	720			
23.10.1997	14	43	721			
30.10.1997	14	44	722			
06.11.1997	14	45	723			
13.11.1997	14	46	724			
20.11.1997	14	47	725			
27.11.1997	14	48	726			
04.12.1997	14	49	727			
11.12.1997	14	50	728			
18.12.1997	14	51	729			
25.12.1997	14	52	730			
01.01.1998	14	53	731			
08.01.1998	15	1	732			
15.01.1998	15	2	733			
22.01.1998	15	3	734			
29.01.1998	15	4	735			
05.02.1998	15	5	736			
12.02.1998	15	6	737			
19.02.1998	15	7	738			
26.02.1998	15	8	739			
05.03.1998	15	9	740			
12.03.1998	15	10	741			
19.03.1998	15	11	742			
26.03.1998	15	12	743			
02.04.1998	15	13	744			
09.04.1998	15	14	745			
16.04.1998	15	15	746			
23.04.1998	15	16	747			
30.04.1998	15	17	748			
07.05.1998	15	18	749			
14.05.1998	15	19	750			
21.05.1998	15	20	751			
28.05.1998	15	21	752			
04.06.1998	15	22	753			
11.06.1998	15	23	754			
18.06.1998	15	24	755			
25.06.1998	15	25	756			
02.07.1998	15	26	757			
09.07.1998	15	27	758			
16.07.1998	15	28	759			
23.07.1998	15	29	760			
30.07.1998	15	30	761			
06.08.1998	15	31	762			
13.08.1998	15	32	763			
20.08.1998	15	33	764			
27.08.1998	15	34	765			
03.09.1998	15	35	766			
10.09.1998	15	36	767			
17.09.1998	15	37	768			
24.09.1998	15	38	769			
01.10.1998	15	39	770			
08.10.1998	15	40	771			
15.10.1998	15	41	772			
22.10.1998	15	42	773			
29.10.1998	15	43	774			
05.11.1998	15	44	775			
12.11.1998	15	45	776			
19.11.1998	15	46	777			
26.11.1998	15	47	778			
03.12.1998	15	48	779			
10.12.1998	15	49	780			
17.12.1998	15	50	781			
24.12.1998	15	51	782			
31.12.1998	15	52	783			
07.01.1999	16	1	784			
14.01.1999	16	2	785			
21.01.1999	16	3	786			
28.01.1999	16	4	787			
04.02.1999	16	5	788			
11.02.1999	16	6	789			
18.02.1999	16	7	790			
25.02.1999	16	8	791			
04.03.1999	16	9	792			
11.03.1999	16	10	793			
18.03.1999	16	11	794			
25.03.1999	16	12	795			
01.04.1999	16	13	796			
08.04.1999	16	14	797			
15.04.1999	16	15	798			
22.04.1999	16	16	799			
29.04.1999	16	17	800			
06.05.1999	16	18	801			
13.05.1999	16	19	802			
20.05.1999	16	20	803			
27.05.1999	16	21	804			
03.06.1999	16	22	805			
10.06.1999	16	23	806			
17.06.1999	16	24	807			
24.06.1999	16	25	808			
01.07.1999	16	26	809			
08.07.1999	16	27	810			
15.07.1999	16	28	811			
22.07.1999	16	29	812			
29.07.1999	16	30	813			
05.08.1999	16	31	814			
12.08.1999	16	32	815			
19.08.1999	16	33	816			
26.08.1999	16	34	817			
02.09.1999	16	35	818			
09.09.1999	16	36	819			
16.09.1999	16	37	820			
23.09.1999	16	38	821			
30.09.1999	16	39	822			
07.10.1999	16	40	823			
14.10.1999	16	41	824			
21.10.1999	16	42	825			
28.10.1999	16	43	826			
04.11.1999	16	44	827			
11.11.1999	16	45	828			
18.11.1999	16	46	829			
25.11.1999	16	47	830			
02.12.1999	16	48	831			
09.12.1999	16	49	832			
16.12.1999	16	50	833			
23.12.1999	16	51	834			
30.12.1999	16	52	835			
06.01.2000	17	1	836			
13.01.2000	17	2	837			
20.01.2000	17	3	838			
27.01.2000	17	4	839			
03.02.2000	17	5	840			
10.02.2000	17	6	841			
17.02.2000	17	7	842			
24.02.2000	17	8	843			
02.03.2000	17	9	844			
09.03.2000	17	10	845			
16.03.2000	17	11	846			
23.03.2000	17	12	847			
30.03.2000	17	13	848			
06.04.2000	17	14	849			
13.04.2000	17	15	850			
20.04.2000	17	16	851			
27.04.2000	17	17	852			
04.05.2000	17	18	853			
11.05.2000	17	19	854			
18.05.2000	17	20	855			
25.05.2000	17	21	856			
01.06.2000	17	22	857			
08.06.2000	17	23	858			
15.06.2000	17	24	859			
22.06.2000	17	25	860			
29.06.2000	17	26	861			
06.07.2000	17	27	862			
13.07.2000	17	28	863			
20.07.2000	17	29	864			
27.07.2000	17	30	865			
03.08.2000	17	31	866			
10.08.2000	17	32	867			
17.08.2000	17	33	868			
24.08.2000	17	34	869			
31.08.2000	17	35	870			
07.09.2000	17	36	871			
14.09.2000	17	37	872			
21.09.2000	17	38	873			
28.09.2000	17	39	874			
05.10.2000	17	40	875			
12.10.2000	17	41	876			
19.10.2000	17	42	877			
26.10.2000	17	43	878			
02.11.2000	17	44	879			
09.11.2000	17	45	880			
16.11.2000	17	46	881			
23.11.2000	17	47	882			
30.11.2000	17	48	883			
07.12.2000	17	49	884			
14.12.2000	17	50	885			
21.12.2000	17	51	886			
28.12.2000	17	52	887			
04.01.2001	18	1	888			
11.01.2001	18	2	889			
18.01.2001	18	3	890			
25.01.2001	18	4	891			
01.02.2001	18	5	892			
08.02.2001	18	6	893			
15.02.2001	18	7	894			
22.02.2001	18	8	895			
01.03.2001	18	9	896			
08.03.2001	18	10	897			
15.03.2001	18	11	898			
22.03.2001	18	12	899			
29.03.2001	18	13	900			
05.04.2001	18	14	901			
12.04.2001	18	15	902			
19.04.2001	18	16	903			
26.04.2001	18	17	904			
03.05.2001	18	18	905			
10.05.2001	18	19	906			
17.05.2001	18	20	907			
24.05.2001	18	21	908			
31.05.2001	18	22	909			
07.06.2001	18	23	910			
14.06.2001	18	24	911			
21.06.2001	18	25	912			
28.06.2001	18	26	913			
05.07.2001	18	27	914			
12.07.2001	18	28	915			
19.07.2001	18	29	916			
26.07.2001	18	30	917			
02.08.2001	18	31	918			
09.08.2001	18	32	919			
16.08.2001	18	33	920			
23.08.2001	18	34	921			
30.08.2001	18	35	922			
06.09.2001	18	36	923			
13.09.2001	18	37	924			
20.09.2001	18	38	925			
27.09.2001	18	39	926			
04.10.2001	18	40	927			
11.10.2001	18	41	928			
18.10.2001	18	42	929			
25.10.2001	18	43	930			
01.11.2001	18	44	931			
08.11.2001	18	45	932			
15.11.2001	18	46	933			
22.11.2001	18	47	934			
29.11.2001	18	48	935			
06.12.2001	18	49	936			
13.12.2001	18	50	937			
20.12.2001	18	51	938			
27.12.2001	18	52	939			
03.01.2002	19	1	940			
10.01.2002	19	2	941			
17.01.2002	19	3	942			
24.01.2002	19	4	943			
31.01.2002	19	5	944			
07.02.2002	19	6	945			
14.02.2002	19	7	946			
21.02.2002	19	8	947			
28.02.2002	19	9	948			
07.03.2002	19	10	949			
14.03.2002	19	11	950			
21.03.2002	19	12	951			
28.03.2002	19	13	952			
04.04.2002	19	14	953			
11.04.2002	19	15	954			
18.04.2002	19	16	955			
25.04.2002	19	17	956			
02.05.2002	19	18	957			
09.05.2002	19	19	958			
16.05.2002	19	20	959			
23.05.2002	19	21	960			
30.05.2002	19	22	961			
06.06.2002	19	23	962			
13.06.2002	19	24	963			
20.06.2002	19	25	964			
27.06.2002	19	26	965			
04.07.2002	19	27	966			
11.07.2002	19	28	967			
18.07.2002	19	29	968			
25.07.2002	19	30	969			
01.08.2002	19	31	970			
08.08.2002	19	32	971			
15.08.2002	19	33	972			
22.08.2002	19	34	973			
29.08.2002	19	35	974			
05.09.2002	19	36	975			
12.09.2002	19	37	976			
19.09.2002	19	38	977			
26.09.2002	19	39	978			
03.10.2002	19	40	979			
10.10.2002	19	41	980			
17.10.2002	19	42	981			
24.10.2002	19	43	982			
31.10.2002	19	44	983			
07.11.2002	19	45	984			
14.11.2002	19	46	985			
21.11.2002	19	47	986			
28.11.2002	19	48	987			
05.12.2002	19	49	988			
12.12.2002	19	50	989			
19.12.2002	19	51	990			
26.12.2002	19	52	991			
02.01.2003	20	1	992			
09.01.2003	20	2	993			
16.01.2003	20	3	994			
23.01.2003	20	4	995			
30.01.2003	20	5	996			
